overall_rank,player_name,position,team,predicted_points,raw_vor,vor,schedule_adjusted_vor
1,Christian McCaffrey,RB,SF,320,0.0,0.0,0.0
2,Dak Prescott,QB,DAL,355,0.0,0.0,0.0
3,Mark Andrews,TE,BAL,160,0.0,0.0,0.0
4,George Kittle,TE,SF,150,0.0,0.0,0.0
5,T.J. Hockenson,TE,MIN,140,0.0,0.0,0.0
6,Kyle Pitts,TE,ATL,130,0.0,0.0,0.0
7,Josh Allen,QB,BUF,385,0.0,0.0,0.0
8,Lamar Jackson,QB,BAL,370,0.0,0.0,0.0
9,Patrick Mahomes,QB,KC,360,0.0,0.0,0.0
10,Tua Tagovailoa,QB,MIA,350,0.0,0.0,0.0
11,Austin Ekeler,RB,WAS,290,0.0,0.0,0.0
12,Joe Burrow,QB,CIN,340,0.0,0.0,0.0
13,Jalen Hurts,QB,PHI,335,0.0,0.0,0.0
14,Justin Herbert,QB,LAC,325,0.0,0.0,0.0
15,Kyler Murray,QB,ARI,320,0.0,0.0,0.0
16,Brock Purdy,QB,SF,315,0.0,0.0,0.0
17,Russell Wilson,QB,PIT,310,0.0,0.0,0.0
18,Geno Smith,QB,SEA,305,0.0,0.0,0.0
19,Travis Kelce,TE,KC,180,0.0,0.0,0.0
20,Mike Evans,WR,TB,215,0.0,0.0,0.0
21,DK Metcalf,WR,SEA,220,0.0,0.0,0.0
22,A.J. Brown,WR,PHI,235,0.0,0.0,0.0
23,Derrick Henry,RB,BAL,280,0.0,0.0,0.0
24,Jonathan Taylor,RB,IND,275,0.0,0.0,0.0
25,Nick Chubb,RB,CLE,270,0.0,0.0,0.0
26,Dalvin Cook,RB,NYJ,265,0.0,0.0,0.0
27,Alvin Kamara,RB,NO,260,0.0,0.0,0.0
28,Saquon Barkley,RB,PHI,255,0.0,0.0,0.0
29,Josh Jacobs,RB,GB,250,0.0,0.0,0.0
30,Aaron Jones,RB,MIN,230,0.0,0.0,0.0
31,Justin Jefferson,WR,MIN,280,0.0,0.0,0.0
32,Cooper Kupp,WR,LA,270,0.0,0.0,0.0
33,Davante Adams,WR,NYJ,260,0.0,0.0,0.0
34,Stefon Diggs,WR,HOU,255,0.0,0.0,0.0
35,Tyreek Hill,WR,MIA,250,0.0,0.0,0.0
36,CeeDee Lamb,WR,DAL,245,0.0,0.0,0.0
37,Ja'Marr Chase,WR,CIN,240,0.0,0.0,0.0
38,Aaron Rodgers,QB,NYJ,300,0.0,0.0,0.0
