overall_rank,player_name,position,team,predicted_points,raw_vor,vor,schedule_adjusted_vor
1,Christian McCaffrey,RB,SF,320,90.0,144.0,144.0
2,Justin Jefferson,WR,MIN,280,110.0,132.0,132.0
3,Travis Kelce,TE,KC,180,90.0,125.99999999999999,125.99999999999999
4,Cooper Kupp,WR,LA,270,100.0,120.0,120.0
5,Davante Adams,WR,NYJ,260,90.0,108.0,108.0
6,Stefon Diggs,WR,HOU,255,85.0,102.0,102.0
7,Mark Andrews,TE,BAL,160,70.0,98.0,98.0
8,Austin Ekeler,RB,WAS,290,60.0,96.0,96.0
9,Tyreek Hill,WR,MIA,250,80.0,96.0,96.0
10,CeeDee Lamb,WR,DAL,245,75.0,90.0,90.0
11,George Kittle,TE,SF,150,60.0,84.0,84.0
12,Ja'Marr Chase,WR,CIN,240,70.0,84.0,84.0
13,Josh Allen,QB,BUF,385,95.0,80.75,80.75
14,Derrick Henry,RB,BAL,280,50.0,80.0,80.0
15,A.J. Brown,WR,PHI,235,65.0,78.0,78.0
16,Jonathan Taylor,RB,IND,275,45.0,72.0,72.0
17,T.J. Hockenson,TE,MIN,140,50.0,70.0,70.0
18,Lamar Jackson,QB,BAL,370,80.0,68.0,68.0
19,Nick Chubb,RB,CLE,270,40.0,64.0,64.0
20,DK Metcalf,WR,SEA,220,50.0,60.0,60.0
21,Patrick Mahomes,QB,KC,360,70.0,59.5,59.5
22,Kyle Pitts,TE,ATL,130,40.0,56.0,56.0
23,Dalvin Cook,RB,NYJ,265,35.0,56.0,56.0
24,Dak Prescott,QB,DAL,355,65.0,55.25,55.25
25,Mike Evans,WR,TB,215,45.0,54.0,54.0
26,Tua Tagovailoa,QB,MIA,350,60.0,51.0,51.0
27,Keenan Allen,WR,CHI,210,40.0,48.0,48.0
28,Alvin Kamara,RB,NO,260,30.0,48.0,48.0
29,Joe Burrow,QB,CIN,340,50.0,42.5,42.5
30,Evan Engram,TE,JAX,120,30.0,42.0,42.0
31,Amari Cooper,WR,BUF,205,35.0,42.0,42.0
32,Saquon Barkley,RB,PHI,255,25.0,40.0,40.0
33,Jalen Hurts,QB,PHI,335,45.0,38.25,38.25
34,DeAndre Hopkins,WR,TEN,200,30.0,36.0,36.0
35,Josh Jacobs,RB,GB,250,20.0,32.0,32.0
36,Justin Herbert,QB,LAC,325,35.0,29.75,29.75
37,Dallas Goedert,TE,PHI,110,20.0,28.0,28.0
38,Kyler Murray,QB,ARI,320,30.0,25.5,25.5
39,Brock Purdy,QB,SF,315,25.0,21.25,21.25
40,Russell Wilson,QB,PIT,310,20.0,17.0,17.0
41,Pat Freiermuth,TE,PIT,100,10.0,14.0,14.0
42,Geno Smith,QB,SEA,305,15.0,12.75,12.75
43,Tyler Lockett,WR,SEA,180,10.0,12.0,12.0
44,Aaron Rodgers,QB,NYJ,300,10.0,8.5,8.5
45,David Njoku,TE,CLE,95,5.0,7.0,7.0
46,Jerry Jeudy,WR,DEN,175,5.0,6.0,6.0
47,Jordan Love,QB,GB,295,5.0,4.25,4.25
48,Tee Higgins,WR,CIN,170,0.0,0.0,0.0
49,Jake Ferguson,TE,DAL,90,0.0,0.0,0.0
50,Aaron Jones,RB,MIN,230,0.0,0.0,0.0
51,Kirk Cousins,QB,ATL,290,0.0,0.0,0.0
