Overall_Rank,Player_Name,Team,Position,Position_Rank,Predicted_FPPG,Games_Played,Predicted_Seasonal_Points,VOR_Value,Tier,Draft_Tier,Is_Replacement_Level
1,Derrick Henry,BAL,RB,1,14.3,17,243.1,148.3,1,Elite (1st Round),False
2,Jahmyr Gibbs,DET,RB,2,14.21,17,241.5,146.7,1,Elite (1st Round),False
3,Bijan Robinson,ATL,RB,3,13.14,17,223.3,128.6,1,Elite (1st Round),False
4,De'Von Achane,MIA,RB,4,12.96,17,220.3,125.6,1,Elite (1st Round),False
5,Saquon Barkley,PHI,RB,5,13.73,16,219.6,124.9,1,Elite (1st Round),False
6,Josh Jacobs,GB,RB,6,12.51,17,212.8,118.0,1,Elite (1st Round),False
7,Bucky Irving,TB,RB,7,12.17,17,206.8,112.1,1,Elite (1st Round),False
8,Ja'Marr Chase,CIN,WR,1,12.36,17,210.1,102.4,1,Elite (1st Round),False
9,Justin Jefferson,MIN,WR,2,12.26,17,208.4,100.7,1,Elite (1st Round),False
10,Kyren Williams,LA,RB,8,11.64,16,186.2,91.4,1,Elite (1st Round),False
11,James Cook,BUF,RB,9,11.28,16,180.5,85.8,1,Elite (1st Round),False
12,Amon-Ra St. Brown,DET,WR,3,11.25,17,191.2,83.5,1,Elite (1st Round),False
13,Najee Harris,PIT,RB,10,10.33,17,175.6,80.9,1,High-End (2nd Round),False
14,Aaron Jones,MIN,RB,11,10.31,17,175.3,80.5,1,High-End (2nd Round),False
15,Chuba Hubbard,CAR,RB,12,11.57,15,173.5,78.7,1,High-End (2nd Round),False
16,Brian Thomas Jr.,JAX,WR,4,10.92,17,185.7,78.0,1,High-End (2nd Round),False
17,James Conner,ARI,RB,13,10.77,16,172.3,77.6,1,High-End (2nd Round),False
18,Rico Dowdle,DAL,RB,14,10.75,16,172.0,77.3,1,High-End (2nd Round),False
19,D'Andre Swift,CHI,RB,15,10.02,17,170.3,75.5,1,High-End (2nd Round),False
20,Chase Brown,CIN,RB,16,10.51,16,168.1,73.4,1,High-End (2nd Round),False
21,Breece Hall,NYJ,RB,17,10.48,16,167.8,73.0,1,High-End (2nd Round),False
22,Lamar Jackson,BAL,QB,1,20.13,17,342.1,72.4,1,High-End (2nd Round),False
23,Jonathan Taylor,IND,RB,18,11.89,14,166.4,71.6,1,High-End (2nd Round),False
24,Alvin Kamara,NO,RB,19,11.72,14,164.0,69.3,1,High-End (2nd Round),False
25,Drake London,ATL,WR,5,10.28,17,174.8,67.1,1,Mid-Tier (3rd Round),False
26,Tony Pollard,TEN,RB,20,9.99,16,159.8,65.1,1,Mid-Tier (3rd Round),False
27,Brock Bowers,LV,TE,1,8.43,17,143.3,64.3,1,Mid-Tier (3rd Round),False
28,Joe Mixon,HOU,RB,21,10.79,14,151.0,56.2,1,Mid-Tier (3rd Round),False
29,Jerry Jeudy,CLE,WR,6,9.62,17,163.5,55.8,1,Mid-Tier (3rd Round),False
