overall_rank,position_rank,player_name,team,position,predicted_points,vor_value,adp,bye_week,tier
1,1,QB Player 1,TEAM1,QB,35.2,23.2,4,4,1
2,2,QB Player 2,TEAM2,QB,33.7,21.7,0,5,1
3,3,QB Player 3,TEAM3,QB,32.6,20.6,-1,6,1
4,4,QB Player 4,TEAM4,QB,31.1,19.1,7,7,1
5,5,QB Player 5,TEAM5,QB,31.0,19.0,1,8,1
6,6,QB Player 6,TEAM6,QB,30.2,18.2,4,9,1
7,7,QB Player 7,TEAM7,QB,29.2,17.2,9,10,1
8,1,RB Player 1,TEAM1,RB,24.6,16.6,28,4,1
9,2,RB Player 2,TEAM2,RB,23.8,15.8,28,5,2
10,5,RB Player 5,TEAM5,RB,23.8,15.8,34,8,2
11,3,RB Player 3,TEAM3,RB,23.7,15.7,22,6,2
12,1,WR Player 1,TEAM1,WR,21.7,15.7,87,4,1
13,4,RB Player 4,TEAM4,RB,23.5,15.5,27,7,2
14,2,WR Player 2,TEAM2,WR,21.5,15.5,89,5,1
15,3,WR Player 3,TEAM3,WR,21.3,15.3,82,6,1
16,5,WR Player 5,TEAM5,WR,21.1,15.1,85,8,1
17,6,WR Player 6,TEAM6,WR,21.0,15.0,86,9,1
18,4,WR Player 4,TEAM4,WR,20.8,14.8,83,7,1
19,8,QB Player 8,TEAM8,QB,26.5,14.5,9,11,2
20,6,RB Player 6,TEAM6,RB,22.5,14.5,25,9,3
21,10,RB Player 10,TEAM10,RB,22.4,14.4,34,13,3
22,8,WR Player 8,TEAM8,WR,20.4,14.4,92,11,1
23,7,RB Player 7,TEAM7,RB,22.3,14.3,32,10,3
24,9,WR Player 9,TEAM9,WR,20.3,14.3,94,12,1
25,8,RB Player 8,TEAM8,RB,22.2,14.2,30,11,3
26,10,WR Player 10,TEAM10,WR,20.2,14.2,95,13,1
27,9,QB Player 9,TEAM9,QB,26.1,14.1,11,12,2
28,9,RB Player 9,TEAM9,RB,21.9,13.9,32,12,3
29,7,WR Player 7,TEAM7,WR,19.7,13.7,89,10,1
30,11,RB Player 11,TEAM11,RB,21.6,13.6,37,14,3
31,1,TE Player 1,TEAM1,TE,17.6,13.6,159,4,1
32,2,TE Player 2,TEAM2,TE,17.3,13.3,163,5,1
33,12,RB Player 12,TEAM12,RB,21.1,13.1,33,15,3
34,12,WR Player 12,TEAM12,WR,19.1,13.1,92,15,2
35,10,QB Player 10,TEAM10,QB,25.0,13.0,11,13,2
36,11,WR Player 11,TEAM11,WR,19.0,13.0,97,14,2
37,15,WR Player 15,TEAM15,WR,19.0,13.0,102,4,2
38,13,RB Player 13,TEAM13,RB,20.8,12.8,39,16,3
39,14,RB Player 14,TEAM14,RB,20.6,12.6,38,17,3
40,14,WR Player 14,TEAM14,WR,18.5,12.5,96,17,2
41,13,WR Player 13,TEAM13,WR,18.4,12.4,97,16,2
42,3,TE Player 3,TEAM3,TE,16.4,12.4,160,6,1
43,16,WR Player 16,TEAM16,WR,18.1,12.1,95,5,2
44,4,TE Player 4,TEAM4,TE,16.1,12.1,160,7,1
45,11,QB Player 11,TEAM11,QB,23.7,11.7,7,14,2
46,16,RB Player 16,TEAM16,RB,19.7,11.7,40,5,4
47,5,TE Player 5,TEAM5,TE,15.7,11.7,162,8,1
48,17,WR Player 17,TEAM17,WR,17.3,11.3,106,6,3
49,12,QB Player 12,TEAM12,QB,23.2,11.2,15,15,2
50,15,RB Player 15,TEAM15,RB,19.1,11.1,37,4,4
51,18,RB Player 18,TEAM18,RB,19.1,11.1,46,7,4
52,17,RB Player 17,TEAM17,RB,19.0,11.0,46,6,4
53,18,WR Player 18,TEAM18,WR,16.9,10.9,101,7,3
54,19,WR Player 19,TEAM19,WR,16.7,10.7,103,8,3
55,21,WR Player 21,TEAM21,WR,16.5,10.5,107,10,3
56,20,WR Player 20,TEAM20,WR,16.4,10.4,102,9,3
57,20,RB Player 20,TEAM20,RB,18.3,10.3,39,9,5
58,24,WR Player 24,TEAM24,WR,16.3,10.3,106,13,3
59,19,RB Player 19,TEAM19,RB,18.2,10.2,38,8,5
60,22,WR Player 22,TEAM22,WR,15.9,9.9,107,11,3
61,23,WR Player 23,TEAM23,WR,15.9,9.9,105,12,3
62,25,WR Player 25,TEAM25,WR,15.7,9.7,114,14,3
63,21,RB Player 21,TEAM21,RB,17.6,9.6,42,10,5
64,22,RB Player 22,TEAM22,RB,17.6,9.6,45,11,5
65,6,TE Player 6,TEAM6,TE,13.5,9.5,163,9,2
66,13,QB Player 13,TEAM13,QB,21.1,9.1,15,16,3
67,26,WR Player 26,TEAM26,WR,15.0,9.0,113,15,4
68,7,TE Player 7,TEAM7,TE,13.0,9.0,162,10,2
69,24,RB Player 24,TEAM24,RB,16.8,8.8,53,13,6
70,25,RB Player 25,TEAM25,RB,16.8,8.8,54,14,6
71,23,RB Player 23,TEAM23,RB,16.6,8.6,52,12,6
72,27,WR Player 27,TEAM27,WR,14.4,8.4,109,16,5
73,26,RB Player 26,TEAM26,RB,16.2,8.2,53,15,6
74,8,TE Player 8,TEAM8,TE,12.2,8.2,160,11,2
75,14,QB Player 14,TEAM14,QB,20.1,8.1,11,17,3
76,29,WR Player 29,TEAM29,WR,14.1,8.1,109,4,5
77,28,WR Player 28,TEAM28,WR,14.0,8.0,117,17,5
78,15,QB Player 15,TEAM15,QB,19.9,7.9,12,4,3
79,31,WR Player 31,TEAM31,WR,13.9,7.9,116,6,5
80,9,TE Player 9,TEAM9,TE,11.9,7.9,170,12,2
81,32,WR Player 32,TEAM32,WR,13.8,7.8,120,7,5
82,33,WR Player 33,TEAM1,WR,13.5,7.5,118,8,5
83,29,RB Player 29,TEAM29,RB,15.3,7.3,50,4,7
84,30,RB Player 30,TEAM30,RB,15.3,7.3,58,5,7
85,34,WR Player 34,TEAM2,WR,13.2,7.2,122,9,5
86,30,WR Player 30,TEAM30,WR,13.1,7.1,111,5,5
87,28,RB Player 28,TEAM28,RB,14.5,6.5,56,17,8
88,16,QB Player 16,TEAM16,QB,18.3,6.3,15,5,3
89,27,RB Player 27,TEAM27,RB,14.1,6.1,54,16,8
90,35,WR Player 35,TEAM3,WR,12.1,6.1,124,10,6
