player_id,player_name,team,position,predicted_points,vor_value,position_rank,is_replacement_level,tier,age,bye_week,adp,adjusted_score,scarcity_multiplier,overall_rank,overall_tier,qb_tier,rb_tier,wr_tier,te_tier
00-0032950,C.Wentz,UNK,QB,26.12,26.52,1,False,1,25,7,-1,21.22,0.8,1,1,1.0,,,
00-0032436,J.Driskel,UNK,QB,13.940000000000001,14.340000000000002,2,False,2,25,7,-1,11.47,0.8,2,2,2.0,,,
00-0036158,J.Dobbins,UNK,RB,9.7,9.899999999999999,1,False,1,25,7,-1,11.88,1.2,3,2,,2.0,,
00-0032128,C.Conley,UNK,WR,6.9,6.9,1,False,1,25,7,-1,6.9,1.0,4,3,,,2.0,
00-0036646,S.Fehoko,UNK,WR,6.9,6.9,2,False,1,25,7,-1,6.9,1.0,5,3,,,2.0,
00-0036427,T.Johnson,UNK,WR,6.8,6.8,3,False,1,25,7,-1,6.8,1.0,6,3,,,2.0,
00-0037317,N.Muse,UNK,TE,2.2,3.2,1,False,1,25,7,-1,3.52,1.1,7,4,,,,3.0
00-0036860,J.Funk,UNK,RB,2.2,2.4000000000000004,2,False,2,25,7,-1,2.88,1.2,8,4,,4.0,,
00-0037827,T.Davis-Price,UNK,RB,2.1,2.3000000000000003,3,False,2,25,7,-1,2.76,1.2,9,4,,4.0,,
00-0037306,J.FitzPatrick,UNK,TE,1.2000000000000002,2.2,2,False,2,25,7,-1,2.42,1.1,10,4,,,,3.0
00-0038862,E.Dotson,UNK,RB,1.9000000000000001,2.1,4,False,2,25,7,-1,2.52,1.2,11,4,,4.0,,
00-0037654,T.Fisk,UNK,TE,0.9,1.9,3,False,2,25,7,-1,2.09,1.1,12,4,,,,4.0
00-0032951,L.Treadwell,UNK,WR,1.6,1.6,4,False,2,25,7,-1,1.6,1.0,13,4,,,4.0,
00-0037506,C.Fotheringham,UNK,TE,0.6000000000000001,1.6,4,False,2,25,7,-1,1.76,1.1,14,4,,,,4.0
00-0035184,D.Ozigbo,UNK,RB,1.3,1.5,5,False,2,25,7,-1,1.8,1.2,15,4,,4.0,,
00-0037410,J.Corbin,UNK,RB,1.3,1.5,6,False,2,25,7,-1,1.8,1.2,16,4,,4.0,,
00-0035562,J.Horsted,UNK,TE,0.4,1.4,5,False,2,25,7,-1,1.54,1.1,17,4,,,,4.0
00-0035924,J.Ward,UNK,RB,1.1,1.3,7,False,2,25,7,-1,1.56,1.2,18,4,,4.0,,
00-0036336,A.McFarland,UNK,RB,1.1,1.3,8,False,2,25,7,-1,1.56,1.2,19,4,,4.0,,
00-0036857,C.Evans,UNK,RB,1.1,1.3,9,False,2,25,7,-1,1.56,1.2,20,4,,4.0,,
00-0032394,N.Vannett,UNK,TE,0.30000000000000004,1.3,6,False,2,25,7,-1,1.43,1.1,21,4,,,,4.0
00-0035956,G.Ricci,UNK,TE,0.2,1.2,7,False,2,25,7,-1,1.32,1.1,22,4,,,,4.0
00-0036254,C.Johnson,UNK,WR,1.1,1.1,5,False,2,25,7,-1,1.1,1.0,23,4,,,4.0,
00-0035164,C.Thompson,UNK,WR,1.0,1.0,6,False,2,25,7,-1,1.0,1.0,24,4,,,4.0,
00-0036423,A.Okwuegbunam,UNK,TE,0.0,1.0,8,False,2,25,7,-1,1.1,1.1,25,4,,,,4.0
00-0037451,R.Williams,UNK,TE,0.0,1.0,9,False,2,25,7,-1,1.1,1.1,26,4,,,,4.0
00-0038397,E.Hull,UNK,RB,0.7000000000000001,0.9000000000000001,10,False,2,25,7,-1,1.08,1.2,27,4,,4.0,,
00-0036176,M.Kinsey,UNK,WR,0.6000000000000001,0.6000000000000001,7,False,2,25,7,-1,0.6,1.0,28,4,,,4.0,
00-0023459,A.Rodgers,UNK,QB,0.0,0.4,3,False,3,25,7,-1,0.32,0.8,29,4,4.0,,,
00-0031237,T.Bridgewater,UNK,QB,-0.2,0.2,4,False,3,25,7,-1,0.16,0.8,30,4,4.0,,,
00-0035594,T.Homer,UNK,RB,0.0,0.2,11,False,2,25,7,-1,0.24,1.2,31,4,,4.0,,
00-0035806,J.Hasty,UNK,RB,0.0,0.2,12,False,2,25,7,-1,0.24,1.2,32,4,,4.0,,
00-0035831,J.Robinson,UNK,RB,0.0,0.2,13,False,2,25,7,-1,0.24,1.2,33,4,,4.0,,
00-0038678,J.Mims,UNK,RB,0.0,0.2,14,False,2,25,7,-1,0.24,1.2,34,4,,4.0,,
00-0037420,K.Lassiter,UNK,WR,0.2,0.2,8,False,2,25,7,-1,0.2,1.0,35,4,,,4.0,
00-0030533,M.Barkley,UNK,QB,-0.30000000000000004,0.09999999999999998,5,False,3,25,7,-1,0.08,0.8,36,4,4.0,,,
00-0034438,L.Woodside,UNK,QB,-0.31999999999999984,0.08000000000000018,6,False,3,25,7,-1,0.06,0.8,37,4,4.0,,,
00-0033958,N.Peterman,UNK,QB,-0.4,0.0,7,False,3,25,7,-1,0.0,0.8,38,4,4.0,,,
00-0032975,J.Williams,UNK,RB,-0.2,0.0,15,False,2,25,7,-1,0.0,1.2,39,4,,4.0,,
00-0031868,D.Byrd,UNK,WR,0.0,0.0,9,False,2,25,7,-1,0.0,1.0,40,4,,,4.0,
00-0035593,J.Winfree,UNK,WR,0.0,0.0,10,False,2,25,7,-1,0.0,1.0,41,4,,,4.0,
00-0036991,A.Rodgers,UNK,WR,0.0,0.0,11,False,2,25,7,-1,0.0,1.0,42,4,,,4.0,
00-0037156,I.Charles,UNK,WR,0.0,0.0,12,False,2,25,7,-1,0.0,1.0,43,4,,,4.0,
00-0038891,S.Jackson,UNK,WR,0.0,0.0,13,False,2,25,7,-1,0.0,1.0,44,4,,,4.0,
00-0038911,M.Cunningham,UNK,WR,0.0,0.0,14,False,2,25,7,-1,0.0,1.0,45,4,,,4.0,
00-0034575,D.Wells,UNK,TE,-1.0,0.0,10,False,3,25,7,-1,0.0,1.1,46,4,,,,4.0
