player_id,player_name,team,position,predicted_points,vor_value,position_rank,is_replacement_level,tier,age,bye_week,adp,adjusted_score,scarcity_multiplier,overall_rank,overall_tier,rb_tier,wr_tier,te_tier,qb_tier
00-0032764,Derrick Henry,BAL,RB,14.297771484024327,8.157282474138242,1,False,1,25,7,-1,9.79,1.2,1,1,2.0,,,
00-0039139,Jahmyr Gibbs,DET,RB,14.205322883704174,8.064833873818088,2,False,1,25,7,-1,9.68,1.2,2,1,2.0,,,
00-0034844,Saquon Barkley,PHI,RB,13.727932804565928,7.587443794679842,3,False,2,25,7,-1,9.1,1.2,3,2,3.0,,,
00-0038542,Bijan Robinson,ATL,RB,13.136246201869774,6.995757191983689,4,False,3,25,7,-1,8.39,1.2,4,3,3.0,,,
00-0039040,De'Von Achane,MIA,RB,12.960245193420374,6.819756183534288,5,False,3,25,7,-1,8.18,1.2,5,4,3.0,,,
00-0035700,Josh Jacobs,GB,RB,12.514887448028322,6.3743984381422365,6,False,4,25,7,-1,7.65,1.2,6,5,3.0,,,
00-0039361,Bucky Irving,TB,RB,12.166614766110772,6.026125756224687,7,False,5,25,7,-1,7.23,1.2,7,6,3.0,,,
00-0036223,Jonathan Taylor,IND,RB,11.885553495819309,5.745064485933224,8,False,6,25,7,-1,6.89,1.2,8,7,3.0,,,
00-0033906,Alvin Kamara,NO,RB,11.715233739561832,5.574744729675746,9,False,6,25,7,-1,6.69,1.2,9,8,3.0,,,
00-0037840,Kyren Williams,LA,RB,11.637479223723993,5.496990213837908,10,False,6,25,7,-1,6.6,1.2,10,8,3.0,,,
00-0036555,Chuba Hubbard,CAR,RB,11.565836848003848,5.425347838117762,11,False,6,25,7,-1,6.51,1.2,11,8,3.0,,,
00-0036900,Ja'Marr Chase,CIN,WR,12.357912328516818,5.14794016467475,1,False,1,25,7,-1,5.15,1.0,12,8,,3.0,,
00-0037248,James Cook,BUF,RB,11.28366734176328,5.143178331877195,12,False,7,25,7,-1,6.17,1.2,13,8,3.0,,,
00-0036322,Justin Jefferson,MIN,WR,12.260245506645342,5.050273342803274,2,False,1,25,7,-1,5.05,1.0,14,8,,3.0,,
00-0033897,Joe Mixon,HOU,RB,10.785343485456458,4.644854475570373,13,False,8,25,7,-1,5.57,1.2,15,8,3.0,,,
00-0033553,James Conner,ARI,RB,10.769484145127272,4.628995135241187,14,False,8,25,7,-1,5.55,1.2,16,8,3.0,,,
00-0036139,Rico Dowdle,DAL,RB,10.751448134217155,4.610959124331069,15,False,8,25,7,-1,5.53,1.2,17,8,3.0,,,
00-0038597,Chase Brown,CIN,RB,10.509300461106532,4.368811451220447,16,False,8,25,7,-1,5.24,1.2,18,8,3.0,,,
00-0038120,Breece Hall,NYJ,RB,10.48457064495613,4.344081635070044,17,False,8,25,7,-1,5.21,1.2,19,8,3.0,,,
00-0036158,J.K. Dobbins,LAC,RB,10.462589706392258,4.322100696506173,18,False,8,25,7,-1,5.19,1.2,20,8,3.0,,,
00-0036893,Najee Harris,PIT,RB,10.330103511566813,4.189614501680728,19,False,8,25,7,-1,5.03,1.2,21,8,3.0,,,
00-0033293,Aaron Jones,MIN,RB,10.311000907815371,4.170511897929286,20,False,8,25,7,-1,5.0,1.2,22,8,3.0,,,
00-0036963,Amon-Ra St. Brown,DET,WR,11.248220056922648,4.038247893080579,3,False,2,25,7,-1,4.04,1.0,23,8,,3.0,,
00-0035685,David Montgomery,DET,RB,10.092839398590007,3.9523503887039215,21,False,8,25,7,-1,4.74,1.2,24,8,4.0,,,
00-0033288,George Kittle,SF,TE,8.958341613694953,3.896031762444312,1,False,1,25,7,-1,4.29,1.1,25,8,,,3.0,
00-0036275,D'Andre Swift,CHI,RB,10.016016209651687,3.8755271997656013,22,False,8,25,7,-1,4.65,1.2,26,8,4.0,,,
00-0035261,Tony Pollard,TEN,RB,9.988801277792819,3.848312267906733,23,False,8,25,7,-1,4.62,1.2,27,8,4.0,,,
00-0039893,Brian Thomas Jr.,JAX,WR,10.923143332812408,3.71317116897034,4,False,3,25,7,-1,3.71,1.0,28,8,,3.0,,
00-0039338,Brock Bowers,LV,TE,8.430553561961924,3.3682437107112824,2,False,2,25,7,-1,3.71,1.1,29,8,,,3.0,
00-0037744,Trey McBride,ARI,TE,8.274626955168554,3.212317103917912,3,False,2,25,7,-1,3.53,1.1,30,8,,,3.0,
00-0037238,Drake London,ATL,WR,10.279667540333838,3.0696953764917696,5,False,4,25,7,-1,3.07,1.0,31,8,,3.0,,
00-0034796,Lamar Jackson,BAL,QB,19.670159232576747,3.0695698372143134,1,False,1,25,7,-1,2.46,0.8,32,8,,,,4.0
00-0037525,Jordan Mason,SF,RB,8.844674911347218,2.7041859014611322,24,False,9,25,7,-1,3.25,1.2,33,8,4.0,,,
00-0036358,CeeDee Lamb,DAL,WR,9.883006677139425,2.673034513297357,6,False,5,25,7,-1,2.67,1.0,34,8,,4.0,,
00-0033858,Jonnu Smith,MIA,TE,7.680107282790959,2.6177974315403176,4,False,3,25,7,-1,2.88,1.1,35,8,,,3.0,
00-0039384,Tyrone Tracy Jr.,NYG,RB,8.754269126067665,2.61378011618158,25,False,9,25,7,-1,3.14,1.2,36,8,4.0,,,
00-0039910,Jayden Daniels,WAS,QB,19.18310651055073,2.5825171151882955,2,False,2,25,7,-1,2.07,0.8,37,8,,,,4.0
00-0037746,Brian Robinson,WAS,RB,8.686477524719908,2.545988514833823,26,False,9,25,7,-1,3.06,1.2,38,8,4.0,,,
00-0039915,Ladd McConkey,LAC,WR,9.716971160723292,2.506998996881223,7,False,6,25,7,-1,2.51,1.0,39,8,,4.0,,
00-0038134,Kenneth Walker III,SEA,RB,8.627772003117553,2.4872829932314673,27,False,9,25,7,-1,2.98,1.2,40,8,4.0,,,
00-0039337,Malik Nabers,NYG,WR,9.6202443700151,2.4102722061730324,8,False,6,25,7,-1,2.41,1.0,41,8,,4.0,,
00-0036407,Jerry Jeudy,CLE,WR,9.61744581393696,2.407473650094892,9,False,6,25,7,-1,2.41,1.0,42,8,,4.0,,
00-0035659,Terry McLaurin,WAS,WR,9.610520349541588,2.4005481856995194,10,False,6,25,7,-1,2.4,1.0,43,8,,4.0,,
00-0038994,Jordan Addison,MIN,WR,9.479265912496196,2.2692937486541274,11,False,6,25,7,-1,2.27,1.0,44,8,,4.0,,
00-0038996,Tucker Kraft,GB,TE,7.311132752535833,2.248822901285192,5,False,4,25,7,-1,2.47,1.1,45,8,,,3.0,
00-0034753,Mark Andrews,BAL,TE,7.259139171301477,2.1968293200508358,6,False,4,25,7,-1,2.42,1.1,46,8,,,3.0,
00-0034857,Josh Allen,BUF,QB,18.646224193643427,2.045634798280993,3,False,3,25,7,-1,1.64,0.8,47,8,,,,4.0
00-0036410,Tee Higgins,CIN,WR,9.247932232213822,2.0379600683717536,12,False,7,25,7,-1,2.04,1.0,48,8,,4.0,,
00-0039065,Sam LaPorta,DET,TE,7.097813790869472,2.03550393961883,7,False,4,25,7,-1,2.24,1.1,49,8,,,3.0,
00-0034827,DJ Moore,CHI,WR,9.222922504461549,2.01295034061948,13,False,7,25,7,-1,2.01,1.0,50,8,,4.0,,
00-0039165,Zach Charbonnet,SEA,RB,8.132587173518107,1.992098163632022,28,False,10,25,7,-1,2.39,1.2,51,8,4.0,,,
00-0039064,Zay Flowers,BAL,WR,9.197373485404905,1.987401321562836,14,False,7,25,7,-1,1.99,1.0,52,8,,4.0,,
00-0039075,Puka Nacua,LA,WR,9.186280771452351,1.9763086076102825,15,False,7,25,7,-1,1.98,1.0,53,8,,4.0,,
00-0038543,Jaxon Smith-Njigba,SEA,WR,9.17330104683391,1.9633288829918412,16,False,7,25,7,-1,1.96,1.0,54,8,,4.0,,
00-0039732,Bo Nix,DEN,QB,18.473261978996888,1.8726725836344542,4,False,3,25,7,-1,1.5,0.8,55,8,,,,4.0
00-0034855,Baker Mayfield,TB,QB,18.465115873932163,1.8645264785697293,5,False,3,25,7,-1,1.49,0.8,56,8,,,,4.0
00-0035676,A.J. Brown,PHI,WR,9.00714285612775,1.7971706922856816,17,False,8,25,7,-1,1.8,1.0,57,8,,4.0,,
00-0033040,Tyreek Hill,MIA,WR,8.881557592614422,1.671585428772354,18,False,8,25,7,-1,1.67,1.0,58,8,,4.0,,
00-0035228,Kyler Murray,ARI,QB,18.25786268513226,1.657273289769826,6,False,3,25,7,-1,1.33,0.8,59,8,,,,4.0
00-0034960,Jakobi Meyers,LV,WR,8.862469999470331,1.652497835628263,19,False,8,25,7,-1,1.65,1.0,60,8,,4.0,,
00-0036554,Nico Collins,HOU,WR,8.791011796267362,1.581039632425294,20,False,8,25,7,-1,1.58,1.0,61,8,,4.0,,
00-0037240,Jameson Williams,DET,WR,8.764359529695165,1.5543873658530964,21,False,8,25,7,-1,1.55,1.0,62,8,,4.0,,
00-0037267,Jerome Ford,CLE,RB,7.6813467899565975,1.540857780070512,29,False,11,25,7,-1,1.85,1.2,63,8,4.0,,,
00-0030506,Travis Kelce,KC,TE,6.575882840515846,1.5135729892652048,8,False,5,25,7,-1,1.66,1.1,64,8,,,4.0,
00-0031408,Mike Evans,TB,WR,8.649671802415838,1.43969963857377,22,False,8,25,7,-1,1.44,1.0,65,8,,4.0,,
00-0036875,Rhamondre Stevenson,NE,RB,7.576212564721701,1.435723554835616,30,False,11,25,7,-1,1.72,1.2,66,8,4.0,,,
00-0038555,Tank Bigsby,JAX,RB,7.564859950172173,1.4243709402860878,31,False,11,25,7,-1,1.71,1.2,67,8,4.0,,,
00-0037740,Garrett Wilson,NYJ,WR,8.619865255175156,1.409893091333088,23,False,8,25,7,-1,1.41,1.0,68,8,,4.0,,
00-0031381,Davante Adams,NYJ,WR,8.587235835777166,1.377263671935098,24,False,8,25,7,-1,1.38,1.0,69,8,,4.0,,
00-0036259,Jauan Jennings,SF,WR,8.486803661662975,1.2768314978209068,25,False,8,25,7,-1,1.28,1.0,70,8,,4.0,,
00-0034348,Courtland Sutton,DEN,WR,8.480089941772299,1.2701177779302304,26,False,8,25,7,-1,1.27,1.0,71,8,,4.0,,
00-0036912,DeVonta Smith,PHI,WR,8.46184075545306,1.2518685916109922,27,False,8,25,7,-1,1.25,1.0,72,8,,4.0,,
00-0033923,Kareem Hunt,KC,RB,7.2883064135234115,1.147817403637326,32,False,12,25,7,-1,1.38,1.2,73,8,4.0,,,
00-0033873,Patrick Mahomes,KC,QB,17.71783632859722,1.1172469332347852,7,False,4,25,7,-1,0.89,0.8,74,8,,,,4.0
00-0036894,Pat Freiermuth,PIT,TE,6.170177692807683,1.1078678415570415,9,False,6,25,7,-1,1.22,1.1,75,8,,,4.0,
00-0036040,Juwan Johnson,NO,TE,6.131439692439991,1.0691298411893495,10,False,6,25,7,-1,1.18,1.1,76,8,,,4.0,
00-0037256,Rachaad White,TB,RB,7.168461105382947,1.0279720954968612,33,False,12,25,7,-1,1.23,1.2,77,8,4.0,,,
