overall_rank,player_name,position,team,predicted_points,vor
1,Christian McCaffrey,RB,SF,36.79950512542118,19.936949625537217
2,Austin Ekeler,RB,LAC,36.01862818815947,18.765634219644653
3,Travis Kelce,TE,KC,28.189355067145975,18.716910703657874
4,Joshua Jacobs,RB,LV,35.43244924254127,17.88636580121735
5,Justin Jefferson,WR,MIN,34.701453102118535,17.35913197636809
6,Tyreek Hill,WR,MIA,34.30631374374317,16.88496474631765
7,Davante Adams,WR,LV,33.70999480031673,16.169382014205922
8,Derrick Henry,RB,TEN,34.28328029498528,16.162612379883377
9,Arthur Brown,WR,PHI,32.4646161046312,14.674927579383285
10,Patrick Mahomes,QB,KC,47.69348685855512,13.828567248221995
11,Joshua Allen,QB,BUF,47.578721421849465,13.725278355186907
12,Dalvin Cook,RB,MIN,32.506215083422205,13.49701456253876
13,Stefon Diggs,WR,BUF,31.44327781077976,13.449321626761561
14,Saquon Barkley,RB,NYG,32.39406931894438,13.328795915822026
15,Joseph Burrow,QB,CIN,47.05677147720893,13.255523405010427
16,Cedarian Lamb,WR,DAL,31.124553178870798,13.066852068470805
17,George Kittle,TE,SF,23.528688580866117,12.191977622866073
18,Amari Cooper,WR,CLE,30.059831337891282,11.789185859295387
19,Jaylen Waddle,WR,MIA,29.83042557841563,11.513898947924602
20,Nicholas Chubb,RB,CLE,31.061246098402407,11.329561085009063
21,DeVonta Smith,WR,PHI,29.471518477576513,11.083210426917663
22,Travis Etienne,RB,JAX,30.888176933030408,11.069957336951065
23,Jamaal Williams,RB,DET,30.73831249522411,10.84516068024162
24,Christian Kirk,WR,JAX,29.116186556728568,10.65681212190013
25,Aaron Jones,RB,GB,30.333387137664268,10.237772643901854
26,Miles Sanders,RB,PHI,29.967220566353298,9.6885227869354
27,Joe Mixon,RB,CIN,29.94803932732037,9.659750928386007
28,Amon-Ra St. Brown,WR,DET,28.28470870057253,9.659038694512883
29,Kirk Cousins,QB,MIN,42.76356286265943,9.391635651915871
30,Thomas Hockenson,TE,MIN,21.1449243653689,8.85470772116997
31,Michael Evans,WR,TB,27.164299494381265,8.314547647083366
32,Eugene Smith,QB,SEA,40.84895859121511,7.668491807615985
33,Tony Pollard,RB,DAL,28.547009864638515,7.558206734363225
34,Justin Herbert,QB,LAC,40.643506755911275,7.483585155842536
35,Jalen Hurts,QB,PHI,40.63004649085575,7.47147091729256
36,Ezekiel Elliott,RB,DAL,28.157715042374335,6.974264500966955
37,Ja'Marr Chase,WR,CIN,25.894899211464953,6.791267307583792
38,Tyler Lockett,WR,SEA,25.89262358373147,6.7885365543036125
39,Thomas Brady,QB,TB,39.6787217183327,6.615278622021821
40,Brandon Aiyuk,WR,SF,25.267702247032968,6.03863095026541
