overall_rank,player_name,position,team,predicted_points,raw_vor,vor
1,Ja'Marr Chase,WR,CIN,37.580382153912424,14.316488618257303,17.179786341908763
2,Jahmyr Gibbs,RB,DET,37.76128065749322,9.7307927988651,14.59618919829765
3,Saquon Barkley,RB,PHI,37.42028119571893,9.389793337090811,14.084690005636217
4,Justin Jefferson,WR,MIN,32.736070986345545,9.472177450690424,11.366612940828508
5,Amon-Ra St. Brown,WR,DET,32.21831637343123,8.954422837776107,10.745307405331328
6,Bijan Robinson,RB,ATL,35.188207041380196,7.1577191827520785,10.736578774128118
7,Terry McLaurin,WR,WAS,32.10875184531167,8.844858309656551,10.613829971587862
8,Lamar Jackson,QB,BAL,46.724320316775646,11.146076316649058,10.031468684984153
9,Baker Mayfield,QB,TB,46.5331027950383,10.954858794911715,9.859372915420543
10,Joe Burrow,QB,CIN,45.73086696498167,10.152622964855084,9.137360668369576
11,Josh Jacobs,RB,GB,34.1115753193334,6.08108746070528,9.12163119105792
12,Drake London,WR,ATL,30.813636611209024,7.549743075553902,9.059691690664682
13,Brian Thomas Jr.,WR,JAX,30.577552222370493,7.313658686715371,8.776390424058444
14,Derrick Henry,RB,BAL,33.48268648815775,5.4521986295296365,8.178297944294455
15,Malik Nabers,WR,NYG,30.03153332885484,6.76763979319972,8.121167751839664
16,Garrett Wilson,WR,NYJ,29.476824263393123,6.2129307277380015,7.455516873285601
17,De'Von Achane,RB,MIA,32.700123026073285,4.669635167445168,7.004452751167753
18,Courtland Sutton,WR,DEN,29.08136757815603,5.817474042500908,6.98096885100109
19,Ladd McConkey,WR,LAC,29.027903252201135,5.764009716546013,6.916811659855216
20,George Kittle,WR,SF,28.960869493226834,5.696975957571713,6.836371149086055
21,A.J. Brown,WR,PHI,28.903911109295205,5.640017573640083,6.7680210883681
22,Jared Goff,QB,DET,42.87599237815641,7.297748378029823,6.56797354022684
23,Ja'Marr Chase,TE,CIN,29.1484390950395,4.567860619865634,6.395004867811887
24,Bucky Irving,RB,TB,32.102547930625896,4.072060071997779,6.108090107996668
25,Joe Mixon,RB,HOU,32.09281459942979,4.0623267408016766,6.093490111202515
26,Jaxon Smith-Njigba,WR,SEA,28.025423185449593,4.761529649794472,5.713835579753366
27,Aaron Jones,RB,MIN,31.75738896072721,3.7269011020990916,5.5903516531486375
28,CeeDee Lamb,WR,DAL,27.76947510375619,4.505581568101068,5.406697881721281
29,Amon-Ra St. Brown,TE,DET,28.382051681836263,3.801473206662397,5.322062489327355
30,Kyren Williams,RB,LA,31.570498402680727,3.5400105440526097,5.310015816078915
31,David Montgomery,RB,DET,31.373985441425233,3.3434975827971165,5.015246374195675
32,Sam Darnold,QB,MIN,40.61391003367999,5.0356660335534045,4.532099430198064
33,James Cook,RB,BUF,30.893564549620738,2.863076690992621,4.294615036488931
34,Terry McLaurin,TE,WAS,27.515709261399696,2.9351307862258302,4.109183100716162
35,Jonathan Taylor,RB,IND,30.562991892608515,2.5325040339803984,3.7987560509705975
36,Josh Allen,QB,BUF,39.75893312175573,4.180689121629143,3.762620209466229
37,Justin Jefferson,TE,MIN,27.222965898474786,2.642387423300921,3.699342392621289
38,Mike Evans,TE,TB,27.190250293595927,2.6096718184220613,3.6535405457908854
39,Brian Thomas Jr.,TE,JAX,26.962636189712548,2.382057714538682,3.3348808003541546
40,Jordan Addison,WR,MIN,25.879106859213934,2.6152133235588124,3.1382559882705747
41,Brock Bowers,WR,LV,25.873730400708567,2.6098368650534454,3.1318042380641344
42,Mike Evans,WR,TB,25.730027995264038,2.4661344596089165,2.9593613515306996
43,Tee Higgins,WR,CIN,25.678000125728445,2.414106590073324,2.8969279080879886
44,Jayden Daniels,QB,WAS,38.729641761961474,3.151397761834886,2.8362579856513976
45,Alvin Kamara,RB,NO,29.802309265181286,1.771821406553169,2.6577321098297535
46,Davante Adams,WR,NYJ,25.257528865857157,1.9936353302020358,2.3923623962424427
47,Jonnu Smith,WR,MIA,25.16351907197123,1.8996255363161083,2.27955064357933
48,Trey McBride,WR,ARI,25.146644785958085,1.882751250302963,2.2593015003635557
49,Nico Collins,WR,HOU,25.057042696121247,1.7931491604661254,2.1517789925593505
50,DeVonta Smith,WR,PHI,24.89784498540782,1.633951449752697,1.9607417397032363
51,Geno Smith,QB,SEA,37.731824885457364,2.1535808853307756,1.9382227967976982
52,Breece Hall,RB,NYJ,29.260907721837274,1.230419863209157,1.8456297948137355
53,Jameson Williams,WR,DET,24.78028589522417,1.5163923595690498,1.8196708314828598
54,Marvin Harrison Jr.,WR,ARI,24.768826922471334,1.5049333868162122,1.8059200641794546
55,Chuba Hubbard,RB,CAR,29.188044482412455,1.1575566237843375,1.7363349356765063
56,Jerry Jeudy,WR,CLE,24.507170235773714,1.2432767001185923,1.4919320401423106
57,Justin Jefferson,RB,MIN,29.004847134077327,0.9743592754492099,1.4615389131738148
58,Amon-Ra St. Brown,RB,DET,29.004847134077327,0.9743592754492099,1.4615389131738148
59,Ja'Marr Chase,RB,CIN,29.004847134077327,0.9743592754492099,1.4615389131738148
60,Terry McLaurin,RB,WAS,28.994417891539904,0.9639300329117866,1.4458950493676799
61,Brian Thomas Jr.,RB,JAX,28.994417891539904,0.9639300329117866,1.4458950493676799
62,Drake London,TE,ATL,25.60827113276912,1.027692657595253,1.438769720633354
63,Chase Brown,RB,CIN,28.921585681182826,0.891097822554709,1.3366467338320636
64,Drake London,RB,ATL,28.904708891538004,0.8742210329098867,1.31133154936483
65,Kyler Murray,QB,ARI,36.97827137854243,1.4000273784158423,1.2600246405742581
66,Courtland Sutton,RB,DEN,28.850798824049317,0.8203109654212,1.2304664481318
67,Keenan Allen,WR,CHI,24.11448287942388,0.8505893437687568,1.020707212522508
68,George Kittle,RB,SF,28.655470923680237,0.6249830650521204,0.9374745975781806
