overall_rank,player_name,position,team,predicted_points,raw_vor,vor,schedule_adjusted_vor
1,Saquon Barkley,RB,PHI,22.20625,10.70625,16.059375000000003,16.059375000000003
2,Jahmyr Gibbs,RB,DET,20.876470588235293,9.376470588235293,14.06470588235294,14.06470588235294
3,Bijan Robinson,RB,ATL,20.099999999999998,8.599999999999998,12.899999999999997,12.899999999999997
4,Derrick Henry,RB,BAL,19.788235294117648,8.288235294117648,12.432352941176472,12.432352941176472
5,Ja'Marr Chase,WR,CIN,23.705882352941178,9.755882352941178,11.707058823529414,11.707058823529414
6,Alvin Kamara,RB,NO,18.95,7.449999999999999,11.174999999999999,11.174999999999999
7,Rashee Rice,WR,KC,21.633333333333336,7.683333333333337,9.220000000000004,9.220000000000004
8,De'Von Achane,RB,MIA,17.641176470588235,6.141176470588235,9.211764705882352,9.211764705882352
9,Jonathan Taylor,RB,IND,17.621428571428574,6.121428571428574,9.18214285714286,9.18214285714286
10,Josh Jacobs,RB,GB,17.241176470588236,5.741176470588236,8.611764705882354,8.611764705882354
11,Joe Mixon,RB,HOU,17.178571428571427,5.678571428571427,8.51785714285714,8.51785714285714
12,Kyren Williams,RB,LA,17.00625,5.506250000000001,8.259375000000002,8.259375000000002
13,George Kittle,TE,SF,15.773333333333335,5.828888888888891,8.160444444444446,8.160444444444446
14,James Cook,RB,BUF,16.66875,5.168749999999999,7.753124999999999,7.753124999999999
15,Brock Bowers,TE,LV,15.452941176470588,5.508496732026144,7.711895424836601,7.711895424836601
16,Kenneth Walker III,RB,SEA,16.472727272727273,4.972727272727273,7.459090909090909,7.459090909090909
17,Trey McBride,TE,ARI,15.2375,5.293055555555556,7.410277777777778,7.410277777777778
18,Chuba Hubbard,RB,CAR,16.10666666666667,4.606666666666669,6.910000000000004,6.910000000000004
19,Chris Godwin,WR,TB,19.685714285714287,5.7357142857142875,6.882857142857145,6.882857142857145
20,Lamar Jackson,QB,BAL,25.316470588235298,7.627720588235299,6.864948529411769,6.864948529411769
21,Chase Brown,RB,CIN,15.9375,4.4375,6.65625,6.65625
22,James Conner,RB,ARI,15.8625,4.362500000000001,6.543750000000001,6.543750000000001
23,David Montgomery,RB,DET,15.837142857142856,4.337142857142856,6.5057142857142845,6.5057142857142845
24,Puka Nacua,WR,LA,18.78181818181818,4.831818181818182,5.798181818181818,5.798181818181818
25,Justin Jefferson,WR,MIN,18.67529411764706,4.72529411764706,5.670352941176472,5.670352941176472
26,Amon-Ra St. Brown,WR,DET,18.598823529411764,4.648823529411764,5.578588235294117,5.578588235294117
27,Tee Higgins,WR,CIN,18.508333333333336,4.558333333333337,5.470000000000004,5.470000000000004
28,Breece Hall,RB,NYJ,15.05625,3.5562500000000004,5.3343750000000005,5.3343750000000005
